iso2	country_group
BE	european_union
BG	european_union
CZ	european_union
DK	european_union
DE	european_union
EE	european_union
IE	european_union
PT	european_union
RO	european_union
SI	european_union
SK	european_union
FI	european_union
SE	european_union
GR	european_union
ES	european_union
FR	european_union
HR	european_union
IT	european_union
CY	european_union
LV	european_union
LT	european_union
LU	european_union
HU	european_union
MT	european_union
NL	european_union
AT	european_union
PL	european_union
